id|image_url|rating|votes|number_in_season|number_in_series|original_air_date|original_air_year|production_code|season|title|viewers_in_millions|video_url
10|http://static-media.fxx.com/img/FX_Networks_-_FXX/305/815/Simpsons_01_10.jpg|7.4|1511|10|10|1990-03-25|1990|7G10|1|Homer's Night Out|30.3|http://www.simpsonsworld.com/video/275197507879
12|http://static-media.fxx.com/img/FX_Networks_-_FXX/245/843/Simpsons_01_12.jpg|8.3|1716|12|12|1990-04-29|1990|7G12|1|Krusty Gets Busted|30.4|http://www.simpsonsworld.com/video/288019523914
14|http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/bart_gets_F.jpg|8.2|1638|1|14|1990-10-11|1990|7F03|2|"Bart Gets an ""F"""|33.6|http://www.simpsonsworld.com/video/260539459671
17|http://static-media.fxx.com/img/FX_Networks_-_FXX/660/859/Simpsons_02_01.jpg|8.1|1457|4|17|1990-11-01|1990|7F01|2|Two Cars in Every Garage and Three Eyes on Every Fish|26.1|http://www.simpsonsworld.com/video/260537411822
19|http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_08.jpg|8|1366|6|19|1990-11-15|1990|7F08|2|Dead Putting Society|25.4|http://www.simpsonsworld.com/video/260539459670
21|http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_06.jpg|8.4|1522|8|21|1990-12-06|1990|7F06|2|Bart the Daredevil|26.2|http://www.simpsonsworld.com/video/260539459702
23|http://static-media.fxx.com/img/FX_Networks_-_FXX/673/547/bart_gets_hit_by_car.jpg|7.8|1340|10|23|1991-01-10|1991|7F10|2|Bart Gets Hit by a Car|24.8|http://www.simpsonsworld.com/video/260550723760
26|http://static-media.fxx.com/img/FX_Networks_-_FXX/930/879/Simpsons_02_13.jpg|8|1329|13|26|1991-02-07|1991|7F13|2|Homer vs. Lisa and the 8th Commandment|26.2|http://www.simpsonsworld.com/video/260820547692
28|http://static-media.fxx.com/img/FX_Networks_-_FXX/372/934/Simpsons_02_16.jpg|8.2|1413|15|28|1991-02-21|1991|7F16|2|"Oh Brother| Where Art Thou?"|26.8|http://www.simpsonsworld.com/video/272046659561
30|http://static-media.fxx.com/img/FX_Networks_-_FXX/418/939/old_money.jpg|7.6|1243|17|30|1991-03-28|1991|7F17|2|Old Money|21.2|http://www.simpsonsworld.com/video/263504963955
32|http://static-media.fxx.com/img/FX_Networks_-_FXX/238/11/Simpsons_02_19.jpg|8.5|1684|19|32|1991-04-25|1991|7F19|2|Lisa's Substitute|17.7|http://www.simpsonsworld.com/video/288011331912
35|http://static-media.fxx.com/img/FX_Networks_-_FXX/368/31/Simpsons_02_22.jpg|8|1223|22|35|1991-07-11|1991|7F22|2|Blood Feud|17.3|http://www.simpsonsworld.com/video/272041539932
37|http://static-media.fxx.com/img/FX_Networks_-_FXX/305/315/MrLisaGoestoWashington.jpg|7.7|1274|2|37|1991-09-26|1991|8F01|3|Mr. Lisa Goes to Washington|20.2|http://www.simpsonsworld.com/video/275196995796
39|http://static-media.fxx.com/img/FX_Networks_-_FXX/241/939/BarttheMurderer.jpg|8.7|1446|4|39|1991-10-10|1991|8F03|3|Bart the Murderer|20.8|http://www.simpsonsworld.com/video/288015427922
41|http://static-media.fxx.com/img/FX_Networks_-_FXX/239/191/Simpsons_03_07.jpg|7.7|1262|6|41|1991-10-24|1991|8F05|3|"Like Father| Like Clown"|20.2|http://www.simpsonsworld.com/video/256874051703
44|http://static-media.fxx.com/img/FX_Networks_-_FXX/262/139/SaturdaysofThunder.jpg|7.9|1194|9|44|1991-11-14|1991|8F07|3|Saturdays of Thunder|24.7|http://www.simpsonsworld.com/video/256898115598
46|http://static-media.fxx.com/img/FX_Networks_-_FXX/66/542/BURNS_DE_KRAFTWERK.jpg|8.2|1291|11|46|1991-12-05|1991|8F09|3|Burns Verkaufen der Kraftwerk|21.1|http://www.simpsonsworld.com/video/310380099512
48|http://static-media.fxx.com/img/FX_Networks_-_FXX/378/791/RadioBart.jpg|8.5|1365|13|48|1992-01-09|1992|8F11|3|Radio Bart|24.2|http://www.simpsonsworld.com/video/272052803895
